Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
18-Jan-2012,9067.35,9067.35,8922.7,9023.4,18615917,1307.4
19-Jan-2012,9106.8,9212.85,9106.8,9199.4,16110623,1188.04
20-Jan-2012,9291.15,9560.15,9268.5,9516.85,31779664,2300.04
23-Jan-2012,9503.1,9659.0,9503.1,9520.3,18003400,1385.11
24-Jan-2012,9536.05,9885.15,9456.25,9834.0,42941539,3240.58
25-Jan-2012,9871.95,9905.5,9762.5,9856.6,37155439,2511.53
27-Jan-2012,9969.25,9969.25,9701.5,9813.65,28981711,1855.41
30-Jan-2012,9741.25,9741.25,9509.15,9537.1,18544390,1347.79
31-Jan-2012,9625.7,9946.5,9625.7,9919.45,28091336,2285.98
01-Feb-2012,9941.9,9967.45,9762.0,9949.1,26646836,1988.41
02-Feb-2012,10012.95,10090.2,9776.55,9992.05,36125570,2942.16
03-Feb-2012,9992.0,10158.95,9928.45,10133.65,23009280,1676.05
06-Feb-2012,10219.6,10331.25,10183.45,10269.25,28798444,2131.32
07-Feb-2012,10368.5,10429.7,10260.15,10324.6,22050339,1491.9
08-Feb-2012,10308.2,10401.65,10208.45,10320.1,41345418,3452.97
09-Feb-2012,10267.25,10546.4,10267.25,10507.6,22657158,1692.34
10-Feb-2012,10482.15,10555.0,10344.2,10442.65,22694434,1646.63
13-Feb-2012,10451.1,10532.85,10335.7,10473.6,22813307,2263.39
14-Feb-2012,10449.45,10606.85,10449.1,10556.65,20459428,1765.25
15-Feb-2012,10633.65,10959.5,10633.15,10930.7,27370860,2178.24
16-Feb-2012,10896.05,10940.8,10780.05,10921.9,21032299,1993.35
17-Feb-2012,11042.85,11203.35,11013.0,11074.9,25647726,2532.44
21-Feb-2012,11042.6,11207.05,11042.6,11170.4,21205502,1822.6
22-Feb-2012,11160.4,11226.75,10714.05,10747.15,28065378,2901.78
23-Feb-2012,10693.75,10852.65,10621.8,10713.35,31530836,2713.57
24-Feb-2012,10691.75,10759.05,10435.55,10506.8,23993670,2112.49
27-Feb-2012,10527.65,10527.65,10073.9,10103.95,22817004,1872.72
28-Feb-2012,10179.95,10561.7,10178.85,10484.0,28033722,2392.13
29-Feb-2012,10561.75,10667.3,10340.75,10414.2,29448672,2201.99
01-Mar-2012,10385.15,10385.15,10160.25,10288.9,18747802,1527.82
02-Mar-2012,10337.7,10584.25,10192.8,10434.3,23770792,1913.22
03-Mar-2012,10435.45,10486.25,10435.45,10450.25,1035896,87.68
05-Mar-2012,10406.85,10406.85,10152.1,10178.85,17289248,1392.34
06-Mar-2012,10149.8,10438.0,10020.45,10058.15,26227151,2509.93
07-Mar-2012,10030.25,10169.45,9939.95,10132.85,19809542,1833.43
09-Mar-2012,10286.8,10526.55,10286.8,10505.65,19796536,1679.0
12-Mar-2012,10765.95,10786.45,10543.25,10625.65,23804609,2013.7
13-Mar-2012,10707.9,10765.7,10671.45,10686.2,15278470,1262.07
14-Mar-2012,10820.4,10912.05,10768.65,10889.7,22896721,1903.28
15-Mar-2012,10894.45,10894.45,10556.4,10595.0,19707900,1670.9
16-Mar-2012,10607.75,10832.3,10348.05,10391.35,23931870,2230.56
19-Mar-2012,10440.85,10440.85,10135.25,10188.85,16950264,1412.78
20-Mar-2012,10183.0,10369.2,10137.8,10281.6,16683621,1436.94
21-Mar-2012,10238.65,10562.05,10217.45,10524.45,17758281,1497.22
22-Mar-2012,10525.0,10583.75,10135.85,10173.55,18653652,1666.54
23-Mar-2012,10249.75,10404.25,10125.75,10294.55,16594155,1589.49
26-Mar-2012,10260.2,10263.1,10013.05,10043.5,16220393,1356.6
27-Mar-2012,10171.9,10247.05,9967.55,10148.85,26405765,2286.13
28-Mar-2012,10122.05,10122.05,9901.2,9960.4,21178400,1667.56
29-Mar-2012,9859.25,9988.55,9845.4,9927.65,37262740,2136.05
30-Mar-2012,9984.8,10248.05,9981.9,10212.75,20687932,1722.85
02-Apr-2012,10186.8,10321.75,10180.95,10305.35,11953512,1058.58
03-Apr-2012,10381.0,10502.7,10376.0,10432.6,15118353,1346.33
04-Apr-2012,10345.15,10371.85,10267.95,10340.1,10494794,927.37
09-Apr-2012,10256.65,10256.65,10113.75,10131.6,9059392,785.22
10-Apr-2012,10169.2,10209.9,10077.05,10196.05,13411560,1107.84
11-Apr-2012,10117.25,10309.75,10060.7,10214.25,18091133,1567.26
12-Apr-2012,10250.7,10432.8,10250.7,10400.7,18998132,1662.15
13-Apr-2012,10478.25,10587.95,10235.7,10306.25,18093614,1631.0
16-Apr-2012,10274.15,10447.95,10274.15,10432.7,17248597,1377.61
17-Apr-2012,10502.65,10621.9,10248.55,10519.55,28789207,2817.46
18-Apr-2012,10585.55,10645.85,10479.5,10512.45,14516136,1240.54
19-Apr-2012,10536.95,10594.9,10438.65,10567.9,16428035,1275.17
20-Apr-2012,10538.3,10577.45,10387.05,10456.5,15316600,1239.4
23-Apr-2012,10432.6,10521.45,10206.9,10243.15,16982751,1263.45
24-Apr-2012,10275.55,10287.9,10151.8,10215.15,14901869,1247.08
25-Apr-2012,10215.85,10277.85,10043.65,10159.85,18511578,1626.61
26-Apr-2012,10171.85,10193.9,10083.5,10128.0,25244593,1564.01
27-Apr-2012,10146.1,10249.15,10029.45,10148.7,30892413,2518.69
28-Apr-2012,10199.05,10232.1,10175.3,10212.65,1438973,138.02
30-Apr-2012,10210.1,10360.55,10210.1,10276.8,18097054,1437.02
02-May-2012,10282.7,10382.35,10278.45,10306.6,14061741,1187.75
03-May-2012,10231.7,10255.85,10100.25,10126.55,19322990,1616.48
04-May-2012,10063.5,10068.65,9757.75,9802.35,25485935,2034.42
07-May-2012,9664.85,9910.7,9480.5,9876.35,26921944,2247.85
08-May-2012,9909.4,9924.15,9526.65,9588.75,19242393,1659.27
09-May-2012,9517.0,9572.35,9340.45,9404.8,26608956,1975.93
10-May-2012,9411.75,9580.4,9362.1,9410.9,25688161,1969.42
11-May-2012,9353.45,9532.65,9296.65,9398.1,18132039,1556.21
14-May-2012,9412.6,9498.8,9190.3,9257.65,18464746,1518.0
15-May-2012,9186.45,9361.45,9166.1,9319.7,19413813,1446.17
16-May-2012,9184.45,9208.15,9047.05,9164.25,24476780,1729.99
17-May-2012,9199.5,9328.5,9113.65,9154.2,19257537,1448.95
18-May-2012,9013.1,9364.7,8995.25,9310.25,27484513,2782.11
21-May-2012,9299.9,9478.95,9299.9,9412.0,18434691,1643.7
22-May-2012,9510.45,9522.3,9253.05,9268.8,20800522,1819.47
23-May-2012,9237.35,9295.65,9157.2,9209.9,16691558,1416.35
24-May-2012,9277.25,9463.7,9198.75,9437.6,17715047,1491.36
25-May-2012,9422.45,9497.0,9371.55,9456.3,17859927,1462.83
28-May-2012,9483.1,9716.5,9483.1,9698.3,15850786,1499.52
29-May-2012,9734.85,9783.45,9687.65,9708.1,16032577,1712.52
30-May-2012,9642.2,9642.2,9514.25,9534.05,14072840,1352.92
31-May-2012,9414.35,9479.35,9360.05,9441.0,35010613,2746.53
01-Jun-2012,9434.45,9493.25,9252.6,9267.6,18392465,1469.39
04-Jun-2012,9174.55,9406.25,9110.45,9362.3,16540800,1396.48
05-Jun-2012,9433.25,9545.5,9400.35,9460.15,17377468,1548.76
06-Jun-2012,9519.0,9770.65,9519.0,9742.8,25844119,1998.69
07-Jun-2012,9830.5,9974.7,9787.95,9950.9,22840353,1996.24
08-Jun-2012,9969.55,10031.2,9809.95,9998.85,19700713,1672.65
11-Jun-2012,10070.15,10157.75,9934.05,9969.2,17006901,1521.9
12-Jun-2012,9899.45,10156.4,9893.35,10139.2,18716982,1778.76
13-Jun-2012,10150.0,10224.55,10075.2,10128.15,18300321,1742.72
14-Jun-2012,10073.5,10096.75,9813.65,9836.95,16594461,1577.86
15-Jun-2012,9881.4,10098.9,9881.4,10064.8,17343223,1547.77
18-Jun-2012,10178.85,10197.8,9695.6,9749.9,24629281,2343.83
19-Jun-2012,9730.0,9808.0,9619.15,9786.45,19759603,1728.98
20-Jun-2012,9812.85,9875.65,9764.45,9831.8,15051818,1252.01
